% Cloudiness,Latitude,Longitude,Date (Raw),% Humidity,Max. Temp. (K),Max. Temp. (F),City,Date (Polished),Country,Wind Speed (MPH),Wind Speed (M/s)
64.0,-18.65,-173.98,1554114493.0,100.0,300.188,1063.74,Neiafu,2019-04-01 10:28:13,TO,16.13,7.21
75.0,-33.93,18.42,1554114366.0,48.0,292.59,1065.45,Cape Town,2019-04-01 10:26:06,ZA,13.44,6.7
36.0,-9.8,-139.03,1554114499.0,99.0,301.138,1047.07,Atuona,2019-04-01 10:28:19,PF,4.0,6.01
12.0,35.2,26.25,1554114127.0,42.0,290.93,1049.27,Palaikastron,2019-04-01 10:22:07,GR,13.87,4.47
88.0,-34.42,19.24,1554113781.0,54.0,290.93,1015.07,Hermanus,2019-04-01 10:16:21,ZA,27.51,1.79
48.0,-34.53,20.04,1554113753.0,42.0,292.15,1036.67,Bredasdorp,2019-04-01 10:15:53,ZA,5.82,6.2
90.0,69.47,25.52,1554112200.0,78.0,273.15,1033.07,Karasjok,2019-04-01 09:50:00,NO,6.93,12.3
40.0,-42.88,147.33,1554114255.0,66.0,285.15,1026.07,Hobart,2019-04-01 10:24:15,AU,11.41,2.6
75.0,-53.16,-70.91,1554114146.0,93.0,283.15,1047.47,Punta Arenas,2019-04-01 10:22:26,CL,16.11,3.1
75.0,63.83,10.7,1554114317.0,80.0,279.26,1055.46,Hovd,2019-04-01 10:25:17,NO,5.73,5.1
75.0,24.8,125.28,1554112800.0,63.0,291.15,1059.33,Hirara,2019-04-01 10:00:00,JP,8.63,7.2
0.0,-23.58,149.07,1554114513.0,41.0,295.588,998.04,Bluff,2019-04-01 10:28:33,AU,8.63,2.56
0.0,25.52,90.21,1554114514.0,73.0,297.738,1036.67,Tura,2019-04-01 10:28:34,IN,5.82,3.86
64.0,61.13,149.63,1554114516.0,73.0,263.688,1040.27,Ust-Omchug,2019-04-01 10:28:36,RU,9.17,3.86
40.0,-42.78,147.06,1554114495.0,66.0,285.15,1014.06,New Norfolk,2019-04-01 10:28:15,AU,16.11,2.6
40.0,38.52,-28.7,1554112800.0,76.0,287.15,1046.01,Ribeira Grande,2019-04-01 10:00:00,PT,13.56,4.1
92.0,33.64,42.83,1554114521.0,98.0,287.238,1067.27,Hit,2019-04-01 10:28:41,IQ,5.82,6.36
75.0,39.62,-77.74,1554114523.0,54.0,272.59,1067.07,Vardo,2019-04-01 10:28:43,US,13.67,7.2
0.0,31.45,12.98,1554114526.0,85.0,290.338,1052.08,Mizdah,2019-04-01 10:28:46,LY,10.0,6.06
24.0,-15.77,128.74,1554111000.0,37.0,302.15,1015.07,Kununurra,2019-04-01 09:30:00,AU,6.93,2.6
80.0,3.07,172.79,1554114529.0,99.0,302.038,1066.26,Butaritari,2019-04-01 10:28:49,KI,8.97,6.11
75.0,63.84,-22.43,1554112800.0,100.0,273.15,1076.27,Grindavik,2019-04-01 10:00:00,IS,5.82,0.5
0.0,-33.59,26.89,1554114350.0,65.0,293.71,1034.87,Port Alfred,2019-04-01 10:25:50,ZA,2.24,4.47
75.0,42.65,-73.75,1554114241.0,68.0,273.15,999.03,Albany,2019-04-01 10:24:01,US,5.39,3.1
24.0,31.27,56.81,1554114535.0,21.0,301.588,1050.69,Ravar,2019-04-01 10:28:55,IR,2.71,4.01
20.0,12.2,79.95,1554109200.0,52.0,307.15,1045.2,Marakkanam,2019-04-01 09:00:00,IN,5.06,2.6
90.0,-51.62,-69.22,1554112800.0,87.0,284.15,1069.14,Rio Gallegos,2019-04-01 10:00:00,AR,9.98,1.0
36.0,48.76,-91.62,1554114539.0,80.0,264.238,1072.56,Atikokan,2019-04-01 10:28:59,CA,14.67,2.41
68.0,9.01,37.45,1554114541.0,79.0,292.938,1063.67,Gedo,2019-04-01 10:29:01,ET,3.36,1.21
0.0,-33.21,138.6,1554114543.0,56.0,289.888,1066.44,Jamestown,2019-04-01 10:29:03,AU,4.05,2.26
32.0,16.29,119.81,1554114544.0,76.0,303.188,1069.07,Catuday,2019-04-01 10:29:04,PH,5.82,4.46
0.0,12.35,32.18,1554114546.0,18.0,305.088,1064.46,Marabba,2019-04-01 10:29:06,SD,0.81,6.56
90.0,-13.85,136.42,1554109200.0,78.0,300.15,1028.46,Alyangula,2019-04-01 09:00:00,AU,0.92,1.5
36.0,-0.6,73.08,1554114549.0,100.0,301.688,1029.47,Hithadhoo,2019-04-01 10:29:09,MV,24.61,1.81
20.0,-20.21,57.76,1554114542.0,66.0,303.15,1078.14,Quatre Cocos,2019-04-01 10:29:02,MU,8.75,2.6
0.0,22.57,59.53,1554114552.0,79.0,300.588,1016.08,Sur,2019-04-01 10:29:12,OM,13.87,0.36
92.0,-54.81,-68.31,1554114516.0,100.0,280.588,1011.09,Ushuaia,2019-04-01 10:28:36,AR,12.21,0.41
40.0,53.14,59.15,1554111000.0,61.0,281.15,1054.08,Svetlogorsk,2019-04-01 09:30:00,RU,16.91,11.0
12.0,25.05,61.74,1554114556.0,40.0,308.188,1007.08,Jiwani,2019-04-01 10:29:16,PK,17.22,3.91
1.0,39.31,-74.98,1554114553.0,46.0,273.71,1056.47,Port Elizabeth,2019-04-01 10:29:13,US,3.6,6.2
8.0,71.97,114.09,1554114559.0,89.0,270.938,1044.21,Saskylakh,2019-04-01 10:29:19,RU,20.49,5.46
92.0,-33.64,115.35,1554114496.0,43.0,294.82,1049.27,Busselton,2019-04-01 10:28:16,AU,26.4,7.56
1.0,45.36,-73.48,1554114537.0,62.0,268.71,1054.67,Saint-Philippe,2019-04-01 10:28:57,CA,4.7,7.7
0.0,-22.97,-42.02,1554112800.0,78.0,296.15,1034.08,Arraial do Cabo,2019-04-01 10:00:00,BR,5.01,1.61
0.0,-34.0,24.73,1554114565.0,71.0,289.338,1067.27,Kruisfontein,2019-04-01 10:29:25,ZA,8.05,9.16
40.0,-33.02,27.91,1554112800.0,63.0,292.15,992.19,East London,2019-04-01 10:00:00,ZA,5.06,11.8
20.0,6.8,-58.16,1554109200.0,94.0,295.15,1076.27,Georgetown,2019-04-01 09:00:00,GY,9.17,2.1
92.0,-46.19,168.86,1554114006.0,74.0,283.71,1074.81,Mataura,2019-04-01 10:20:06,NZ,4.38,2.24
75.0,5.28,115.24,1554111000.0,66.0,302.15,1054.67,Victoria,2019-04-01 09:30:00,BN,3.36,3.6
36.0,68.75,161.3,1554114573.0,71.0,260.438,1026.03,Cherskiy,2019-04-01 10:29:33,RU,4.94,2.26
0.0,13.77,-13.67,1554112800.0,44.0,307.15,1020.72,Tambacounda,2019-04-01 10:00:00,SN,10.42,4.1
0.0,14.07,98.19,1554114576.0,41.0,306.338,1079.31,Dawei,2019-04-01 10:29:36,MM,6.4,1.96
75.0,19.71,-155.08,1554114568.0,94.0,295.15,1068.06,Hilo,2019-04-01 10:29:28,US,3.15,1.5
80.0,-45.41,167.72,1554114579.0,79.0,279.238,1043.08,Te Anau,2019-04-01 10:29:39,NZ,11.41,2.21
92.0,60.06,69.92,1554114580.0,81.0,276.288,1011.07,Gornopravdinsk,2019-04-01 10:29:40,RU,3.36,4.66
0.0,8.58,81.23,1554114582.0,51.0,308.838,993.47,Trincomalee,2019-04-01 10:29:42,LK,25.28,2.86
8.0,-16.48,-151.75,1554114583.0,99.0,302.588,1010.73,Faanui,2019-04-01 10:29:43,PF,2.71,1.41
0.0,44.83,-0.61,1554114049.0,62.0,288.71,1040.27,Saint-Augustin,2019-04-01 10:20:49,FR,13.87,5.1
40.0,47.91,-97.06,1554113779.0,92.0,270.93,1004.27,Grand Forks,2019-04-01 10:16:19,US,10.29,1.5
20.0,68.82,-51.19,1554112200.0,60.0,261.15,1025.49,Qasigiannguit,2019-04-01 09:50:00,GL,17.25,11.3
44.0,58.61,125.39,1554114340.0,60.0,270.738,1079.87,Aldan,2019-04-01 10:25:40,RU,6.93,1.21
0.0,42.05,59.39,1554111000.0,26.0,287.15,1025.87,Akdepe,2019-04-01 09:30:00,TM,5.82,6.2
8.0,65.61,-37.64,1554112200.0,73.0,267.15,1065.47,Tasiilaq,2019-04-01 09:50:00,GL,11.41,4.6
0.0,55.9,27.16,1554114593.0,61.0,278.938,1059.79,Kraslava,2019-04-01 10:29:53,LV,12.19,7.71
40.0,15.34,74.49,1554109200.0,19.0,309.15,1034.08,Vaini,2019-04-01 09:00:00,IN,5.01,3.1
90.0,47.66,-52.73,1554114515.0,93.0,279.15,1006.07,Torbay,2019-04-01 10:28:35,CA,19.46,2.6
36.0,-21.21,-159.78,1554112800.0,88.0,301.15,1065.37,Avarua,2019-04-01 10:00:00,CK,0.27,5.1
76.0,-23.12,-134.97,1554114605.0,100.0,297.997,1065.28,Rikitea,2019-04-01 10:30:05,PF,3.91,5.45
75.0,-3.75,-73.25,1554109200.0,94.0,298.15,1042.07,Iquitos,2019-04-01 09:00:00,PE,17.9,1.0
92.0,-46.13,167.69,1554114006.0,74.0,283.71,983.92,Tuatapere,2019-04-01 10:20:06,NZ,6.04,2.24
90.0,65.28,-126.83,1554112800.0,88.0,273.15,1036.67,Norman Wells,2019-04-01 10:00:00,CA,8.05,5.1
20.0,62.45,-114.38,1554114530.0,67.0,268.15,1060.07,Yellowknife,2019-04-01 10:28:50,CA,9.17,8.7
12.0,15.86,-97.07,1554114615.0,100.0,301.097,985.18,Puerto Escondido,2019-04-01 10:30:15,MX,3.06,0.12
5.0,50.7,-127.42,1554109200.0,85.0,273.15,1047.07,Port Hardy,2019-04-01 09:00:00,CA,9.33,1.0
48.0,5.4,125.46,1554114618.0,97.0,301.047,1031.27,Sarangani,2019-04-01 10:30:18,PH,4.7,1.75
0.0,48.03,40.04,1554111000.0,30.0,288.15,1056.47,Almaznyy,2019-04-01 09:30:00,RU,19.46,8.0
68.0,77.48,-69.36,1554114621.0,90.0,255.847,1058.35,Qaanaaq,2019-04-01 10:30:21,GL,4.14,2.7
0.0,41.28,20.71,1554112800.0,40.0,285.15,1016.41,Poum,2019-04-01 10:00:00,MK,11.68,3.6
20.0,13.22,-59.52,1554109200.0,73.0,298.15,1060.6,Bathsheba,2019-04-01 09:00:00,BB,10.4,4.1
0.0,70.62,147.9,1554114625.0,59.0,256.547,1070.5,Chokurdakh,2019-04-01 10:30:25,RU,9.95,1.37
0.0,32.31,121.18,1554114467.0,31.0,290.93,1056.55,Juegang,2019-04-01 10:27:47,CN,16.44,4.17
75.0,41.01,39.72,1554112200.0,66.0,282.15,1067.08,Trabzon,2019-04-01 09:50:00,TR,8.66,2.1
20.0,14.69,-17.45,1554112800.0,77.0,296.15,1078.07,Dakar,2019-04-01 10:00:00,SN,14.99,8.7
88.0,-3.0,-47.35,1554114632.0,98.0,297.197,1053.85,Paragominas,2019-04-01 10:30:32,BR,9.4,1.85
8.0,62.59,40.61,1554114634.0,91.0,273.897,1020.07,Puksoozero,2019-04-01 10:30:34,RU,4.7,5.22
0.0,21.46,-71.14,1554114635.0,100.0,298.447,1013.07,Cockburn Town,2019-04-01 10:30:35,TC,2.13,4.65
8.0,-20.74,116.85,1554114637.0,36.0,303.947,1035.07,Karratha,2019-04-01 10:30:37,AU,6.93,4.45
0.0,-40.81,-62.99,1554114638.0,63.0,296.197,1063.57,Viedma,2019-04-01 10:30:38,AR,5.59,7.35
20.0,35.51,27.21,1554112200.0,55.0,291.15,1022.27,Karpathos,2019-04-01 09:50:00,GR,21.92,10.3
0.0,21.43,39.83,1554114641.0,16.0,302.047,1048.54,Mecca,2019-04-01 10:30:41,SA,5.14,3.87
0.0,11.28,49.18,1554109200.0,28.0,308.15,1063.39,Bosaso,2019-04-01 09:00:00,SO,2.51,6.7
36.0,-38.31,-60.23,1554114647.0,72.0,294.697,1067.27,Barrow,2019-04-01 10:30:47,AR,13.87,4.2
1.0,50.25,-118.97,1554114648.0,86.0,275.93,1034.87,Lumby,2019-04-01 10:30:48,CA,4.7,2.1
1.0,60.55,-151.26,1554114568.0,86.0,272.04,1024.87,Kenai,2019-04-01 10:29:28,US,7.65,0.95
40.0,45.52,-122.67,1554114545.0,62.0,284.26,1029.47,Portland,2019-04-01 10:29:05,US,21.92,3.1
48.0,0.12,117.47,1554114654.0,100.0,300.097,1057.81,Bontang,2019-04-01 10:30:54,ID,6.53,2.5
88.0,62.16,-7.17,1554112200.0,86.0,277.15,1034.08,Vestmanna,2019-04-01 09:50:00,FO,8.05,9.8
24.0,-12.66,-76.63,1554114657.0,100.0,291.747,1057.09,Mala,2019-04-01 10:30:57,PE,2.28,2.3
44.0,-3.52,23.6,1554114660.0,87.0,299.997,1072.39,Lodja,2019-04-01 10:31:00,CD,3.02,1.12
64.0,73.51,80.55,1554114661.0,98.0,270.347,1007.32,Dikson,2019-04-01 10:31:01,RU,13.65,12.52
0.0,47.59,7.56,1554114625.0,62.0,288.15,1051.07,Saint-Louis,2019-04-01 10:30:25,CH,4.7,1.5
20.0,17.01,54.1,1554112200.0,66.0,302.15,995.35,Salalah,2019-04-01 09:50:00,OM,5.86,6.2
90.0,39.72,45.65,1554114600.0,53.0,284.15,1029.07,Saravan,2019-04-01 10:30:00,AM,19.46,2.1
48.0,56.85,105.25,1554114667.0,66.0,278.597,1054.3,Yantal,2019-04-01 10:31:07,RU,12.46,3.42
75.0,35.03,136.69,1554114461.0,61.0,281.15,1064.02,Fukue,2019-04-01 10:27:41,JP,10.4,9.8
0.0,-30.17,-50.22,1554114670.0,89.0,296.897,1020.47,Cidreira,2019-04-01 10:31:10,BR,8.05,2.92
75.0,53.35,-6.26,1554114215.0,81.0,283.71,1018.67,Dublin,2019-04-01 10:23:35,IE,12.75,3.6
56.0,15.12,108.8,1554114673.0,74.0,296.497,1056.47,Quang Ngai,2019-04-01 10:31:13,VN,23.04,1.02
90.0,36.41,-105.57,1554114659.0,92.0,271.15,1055.56,Taos,2019-04-01 10:30:59,US,2.73,0.5
0.0,-2.95,12.72,1554114676.0,60.0,304.997,1024.06,Mossendjo,2019-04-01 10:31:16,CG,4.52,1.35
32.0,61.99,-49.67,1554114677.0,100.0,268.847,1084.9,Paamiut,2019-04-01 10:31:17,GL,14.36,6.1
0.0,41.89,12.48,1554114617.0,48.0,293.15,1018.39,Rome,2019-04-01 10:30:17,IT,2.8,2.1
48.0,72.79,-56.15,1554114680.0,100.0,262.197,1020.07,Upernavik,2019-04-01 10:31:20,GL,12.75,2.62
