% Cloudiness,Latitude,Longitude,Date (Polished),Date (Raw),% Humidity,Max. Temp. (K),City,Country,Wind Speed (M/s)
75.0,24.34,124.16,2019-03-29 22:00:00,1553896800.0,78.0,296.15,Ishigaki,JP,5.1
44.0,-6.22,155.63,2019-03-29 22:35:13,1553898913.0,98.0,301.412,Kieta,PG,1.37
0.0,-38.31,-60.23,2019-03-29 22:35:17,1553898917.0,65.0,294.962,Barrow,AR,5.87
1.0,60.79,-161.76,2019-03-29 21:56:00,1553896560.0,60.0,279.15,Bethel,US,4.6
8.0,22.93,57.53,2019-03-29 22:33:59,1553898839.0,82.0,288.862,Nizwa,OM,1.27
20.0,-33.93,18.42,2019-03-29 22:31:07,1553898667.0,88.0,292.04,Cape Town,ZA,2.1
0.0,-33.64,115.35,2019-03-29 22:28:47,1553898527.0,49.0,284.82,Busselton,AU,7.81
8.0,64.57,143.24,2019-03-29 22:35:25,1553898925.0,76.0,258.012,Ust-Nera,RU,1.07
20.0,-0.74,-90.35,2019-03-29 22:15:49,1553897749.0,70.0,302.15,Puerto Ayora,EC,4.1
0.0,-17.73,-39.27,2019-03-29 22:30:54,1553898654.0,100.0,300.612,Caravelas,BR,8.42
75.0,21.39,-158.15,2019-03-29 22:34:41,1553898881.0,69.0,300.15,Nanakuli,US,5.1
80.0,-23.58,149.07,2019-03-29 22:35:32,1553898932.0,100.0,298.362,Bluff,AU,3.32
92.0,-15.27,-72.34,2019-03-29 22:35:33,1553898933.0,99.0,275.612,Orcopampa,PE,0.42
40.0,-22.97,-42.02,2019-03-29 22:00:00,1553896800.0,88.0,298.15,Arraial do Cabo,BR,0.5
88.0,-23.12,-134.97,2019-03-29 22:35:36,1553898936.0,95.0,300.062,Rikitea,PF,11.02
75.0,22.08,-159.32,2019-03-29 22:33:19,1553898799.0,60.0,297.15,Kapaa,US,6.2
24.0,77.48,-69.36,2019-03-29 22:35:39,1553898939.0,78.0,250.562,Qaanaaq,GL,3.92
32.0,-0.6,73.08,2019-03-29 22:35:41,1553898941.0,100.0,301.462,Hithadhoo,MV,1.92
20.0,18.42,-64.62,2019-03-29 22:33:28,1553898808.0,74.0,300.15,Road Town,VG,2.57
90.0,62.45,-114.38,2019-03-29 22:32:50,1553898770.0,73.0,270.37,Yellowknife,CA,4.1
